,RunId,iteration,Step,num_agents,avg_degree,tolerance,num_recommended,num_neighbor_conn,radical,schedule_type,Opinion_Clustering_Coefficient,Opinion_Homophily,Opinion_Modularity,Proportion_of_Uniform_Neighbors,Average_Radicalization
0,0,0,0,50,2,0.1,0,1,True,Sequential,0.0,0.49019607843137253,0.02537485582468281,0.36,0.19309965721866693
1,0,0,2,50,2,0.1,0,1,True,Sequential,0.04466666666666667,0.8157894736842105,0.2946675900277008,0.78,0.1836829275834219
2,0,0,4,50,2,0.1,0,1,True,Sequential,0.11014285714285714,0.8448275862068966,0.2871581450653984,0.7,0.18349988513246185
3,0,0,6,50,2,0.1,0,1,True,Sequential,0.15185714285714286,0.8095238095238095,0.2983985260770975,0.62,0.18325174216928122
4,0,0,8,50,2,0.1,0,1,True,Sequential,0.2397460317460317,0.8532110091743119,0.2916000336671998,0.58,0.18426462791739945
5,0,0,10,50,2,0.1,0,1,True,Sequential,0.330018759018759,0.8045112781954887,0.3001582904629996,0.58,0.18471179057149317
6,0,0,12,50,2,0.1,0,1,True,Sequential,0.3641169941169941,0.7677419354838709,0.2955046826222685,0.56,0.184
7,0,0,14,50,2,0.1,0,1,True,Sequential,0.43871250971250964,0.7828571428571428,0.2906285714285714,0.56,0.184
8,0,0,16,50,2,0.1,0,1,True,Sequential,0.46673104673104665,0.7604166666666666,0.2704942491319445,0.56,0.184
9,0,0,18,50,2,0.1,0,1,True,Sequential,0.49059623383152806,0.7548076923076923,0.2690920857988166,0.56,0.184
10,0,0,20,50,2,0.1,0,1,True,Sequential,0.5363572799749273,0.759090909090909,0.27699380165289256,0.56,0.184
11,1,0,0,50,2,0.1,0,1,False,Sequential,0.0,0.41935483870967744,0.07596253902185218,0.36,0.2215125920566803
12,1,0,2,50,2,0.1,0,1,False,Sequential,0.07333333333333333,0.85,0.30500000000000005,0.74,0.19797852920255019
13,1,0,4,50,2,0.1,0,1,False,Sequential,0.0964285714285714,0.8769230769230769,0.2675739644970415,0.68,0.19913018026845705
